app_name,category,size_mb,rating
DailyMusic0,Communication,23.8,4.59
UltraGame1,Education,12.0,4.86
UltraTasks2,Health,108.2,4.0
QuickMusic3,Communication,272.8,4.02
DailyNotes4,Finance,24.6,4.74
SmartMusic5,Finance,23.8,4.37
MegaPhoto6,Tools,6.5,4.63
SmartWallet7,Social,16.9,4.07
MegaFit8,Finance,173.9,4.46
SmartNotes9,Education,350.3,2.69
QuickCam10,Entertainment,7.7,4.06
MegaLearn11,Communication,258.0,4.25
DailyCam12,Education,391.6,3.91
DailyFit13,Education,138.2,4.09
ProNotes14,Communication,336.5,4.36
DailyCam15,Health,259.6,1.76
LiteGame16,Photography,3.6,4.43
LiteFit17,Communication,10.8,4.31
EasyGame18,Health,23.3,4.55
QuickTasks19,Finance,9.6,4.75
EasyLearn20,Finance,100.2,3.73
FastLearn21,Social,377.0,3.84
FastGame22,Entertainment,14.4,4.2
QuickLearn23,Tools,220.4,4.15
QuickTasks24,Communication,24.4,4.27
FastWallet25,Entertainment,312.4,4.17
MegaNotes26,Games,404.6,4.48
QuickCam27,Social,207.6,2.15
FastPhoto28,Communication,443.3,3.82
SimpleTasks29,Education,3.3,4.2
SimpleChat30,Entertainment,23.5,4.28
DailyMusic31,Finance,378.3,3.89
DailyCam32,Finance,204.3,4.55
ProGame33,Education,18.4,4.45
ProCam34,Communication,455.1,4.43
SmartChat35,Social,170.9,3.15
MegaLearn36,Entertainment,497.8,3.73
ProWallet37,Entertainment,223.2,4.19
MegaChat38,Photography,15.2,4.4
QuickNotes39,Communication,330.8,4.34
EasyPhoto40,Finance,407.4,3.58
UltraPhoto41,Tools,185.8,2.48
ProChat42,Finance,8.3,4.22
ProLearn43,Education,21.3,4.16
FastChat44,Health,17.1,4.01
EasyFit45,Health,378.8,3.94
LiteTasks46,Education,339.2,2.86
ProFit47,Productivity,418.3,5.0
EasyMusic48,Health,14.9,4.39
EasyWallet49,Photography,1.9,4.24
LiteWallet50,Games,408.0,4.39
MegaGame51,Productivity,379.8,3.76
FastFit52,Health,229.2,3.97
DailyCam53,Photography,24.1,4.66
EasyCam54,Education,23.0,3.94
DailyNotes55,Social,284.2,2.43
EasyCam56,Photography,119.1,3.79
LiteNotes57,Health,8.5,4.47
UltraFit58,Health,338.2,2.36
SmartGame59,Health,354.0,3.47
LiteLearn60,Entertainment,301.3,4.34
LiteLearn61,Productivity,357.5,3.05
ProTasks62,Tools,151.4,4.37
SmartPhoto63,Productivity,182.7,4.36
FastChat64,Communication,128.5,4.51
UltraChat65,Education,3.8,4.26
SimpleLearn66,Communication,421.4,3.91
SmartTasks67,Entertainment,212.0,2.32
DailyFit68,Finance,446.8,3.66
QuickGame69,Finance,10.1,4.51
LitePhoto70,Health,22.5,4.5
ProCam71,Games,279.4,4.15
UltraMusic72,Health,400.9,4.42
UltraPhoto73,Entertainment,14.2,4.59
EasyFit74,Education,382.3,4.23
FastChat75,Photography,20.7,4.42
EasyGame76,Tools,193.3,4.57
LiteGame77,Social,395.5,2.72
FastMusic78,Communication,292.7,4.72
SmartMusic79,Games,12.8,4.14
SimpleTasks80,Finance,3.8,4.78
EasyMusic81,Photography,151.6,2.99
ProGame82,Finance,23.2,4.35
QuickNotes83,Social,351.8,4.3
MegaMusic84,Games,460.5,4.97
SmartNotes85,Finance,241.3,3.92
ProWallet86,Productivity,11.9,4.92
SimpleChat87,Health,332.5,3.68
QuickNotes88,Health,357.1,3.19
QuickTasks89,Productivity,24.3,4.26
UltraWallet90,Communication,4.2,4.5
UltraMusic91,Health,407.6,4.87
LiteTasks92,Tools,6.8,4.2
MegaFit93,Health,95.0,2.21
QuickWallet94,Photography,290.5,4.02
QuickFit95,Photography,20.0,4.67
SmartWallet96,Productivity,381.6,4.05
ProChat97,Games,256.9,4.08
FastPhoto98,Tools,280.4,4.11
MegaTasks99,Health,127.1,2.87
SmartPhoto100,Finance,101.2,2.66
EasyLearn101,Games,333.9,4.03
SmartMusic102,Communication,9.3,4.38
FastWallet103,Photography,5.1,4.69
QuickMusic104,Finance,313.8,4.48
EasyLearn105,Tools,12.5,4.31
MegaWallet106,Health,20.3,4.18
SmartMusic107,Education,250.0,2.89
SmartMusic108,Social,17.5,4.54
