app_name,category,size_mb,rating
SimpleWallet521,Social,20.4,4.47
ProMusic737,Entertainment,309.4,4.32
MegaFit740,Entertainment,15.7,4.88
DailyGame660,Entertainment,18.2,4.28
SimpleMusic411,Productivity,293.9,2.66
DailyPhoto678,Communication,259.9,2.43
UltraLearn626,Productivity,493.7,4.74
LiteCam513,Photography,151.8,2.23
SimpleMusic859,Health,467.7,4.22
FastCam136,Social,87.4,3.2
EasyGame811,Communication,132.8,3.95
EasyGame76,Tools,193.3,4.57
UltraGame636,Finance,366.1,3.22
EasyMusic973,Communication,328.9,4.15
MegaCam938,Games,262.3,4.2
SimpleNotes899,Photography,1.8,4.24
EasyCam280,Entertainment,338.3,3.61
EasyChat883,Photography,363.3,4.41
DailyPhoto761,Entertainment,483.2,4.46
LiteGame319,Finance,104.2,3.94
SimpleCam549,Health,345.3,4.05
SimpleMusic174,Health,369.1,3.28
DailyLearn371,Photography,339.2,3.81
DailyChat527,Education,296.7,2.73
LiteChat210,Games,165.4,4.43
DailyMusic235,Communication,417.2,4.23
EasyLearn101,Games,333.9,4.03
FastMusic986,Social,220.2,2.9
UltraTasks902,Entertainment,190.3,4.04
SmartWallet947,Entertainment,22.3,4.03
FastNotes346,Games,11.3,4.55
MegaNotes139,Finance,246.0,2.39
DailyLearn621,Education,1.2,3.64
ProPhoto499,Tools,136.3,4.42
ProChat370,Education,323.1,4.33
MegaLearn198,Productivity,292.2,4.62
MegaMusic687,Finance,273.5,4.64
LiteMusic584,Productivity,9.9,4.34
LiteNotes901,Social,296.4,2.03
SmartGame59,Health,354.0,3.47
QuickLearn328,Communication,9.2,4.84
SmartWallet96,Productivity,381.6,4.05
MegaNotes312,Entertainment,104.5,2.76
QuickWallet974,Health,285.6,4.36
LiteChat299,Social,24.1,4.51
ProFit277,Photography,495.1,4.97
SimpleFit924,Photography,20.7,4.39
UltraPhoto601,Social,225.1,4.18
SimpleLearn439,Games,144.2,3.08
SimpleLearn837,Social,8.7,4.44
ProGame570,Productivity,1.5,4.19
EasyCam879,Games,10.1,3.83
FastChat261,Finance,15.5,4.73
EasyCam578,Communication,378.9,4.12
QuickLearn23,Tools,220.4,4.15
SimpleChat30,Entertainment,23.5,4.28
DailyNotes617,Entertainment,9.0,4.88
QuickCam10,Entertainment,7.7,4.06
EasyWallet221,Games,107.3,4.5
LiteNotes820,Photography,12.4,4.72
EasyTasks296,Games,263.4,2.66
EasyCam54,Education,23.0,3.94
SmartGame542,Tools,333.4,3.62
LiteTasks209,Communication,12.2,4.26
SimpleGame604,Communication,16.3,4.67
DailyCam692,Productivity,5.8,4.37
EasyNotes662,Tools,9.2,4.77
LiteMusic866,Productivity,110.7,3.9
LitePhoto70,Health,22.5,4.5
UltraWallet543,Communication,11.8,4.45
SmartMusic107,Education,250.0,2.89
LiteTasks493,Entertainment,21.5,4.57
SmartMusic590,Tools,15.1,4.52
FastWallet741,Communication,176.0,4.4
UltraGame292,Health,23.6,4.51
QuickNotes289,Social,19.9,4.44
LiteGame652,Social,8.1,4.81
QuickNotes39,Communication,330.8,4.34
FastMusic589,Social,353.0,4.7
UltraNotes307,Productivity,21.0,4.52
LitePhoto679,Health,9.5,4.45
SimpleLearn66,Communication,421.4,3.91
UltraTasks275,Social,231.3,2.04
SmartTasks67,Entertainment,212.0,2.32
SimpleCam318,Productivity,405.7,4.55
SimpleMusic548,Communication,465.8,3.64
QuickMusic998,Communication,22.5,3.84
ProMusic714,Tools,112.9,3.05
SmartGame753,Productivity,105.7,2.69
LiteChat327,Communication,17.4,4.16
LiteTasks382,Education,142.5,3.88
UltraNotes451,Communication,16.4,4.34
DailyTasks522,Tools,162.9,4.31
MegaNotes218,Productivity,20.1,4.27
SmartTasks787,Games,136.6,4.09
DailyMusic436,Games,492.4,4.59
ProWallet764,Social,165.3,4.02
QuickNotes88,Health,357.1,3.19
SmartPhoto63,Productivity,182.7,4.36
FastCam826,Entertainment,239.5,4.7
