distancia_km,tiempo_min,altimetria_m,pulsaciones_prom,cadencia_rpm,nivel
41.66,148.0,533.5,153.1,75.9,1
20.8,94.8,35.2,137.8,60.5,0
49.86,121.4,415.6,127.9,75.6,1
62.17,126.4,513.3,135.8,82.6,2
20.2,108.9,167.5,148.6,56.8,0
53.06,160.6,353.5,146.7,66.3,1
57.62,162.0,378.9,132.3,85.4,1
48.54,148.6,288.4,147.6,77.3,1
29.66,107.8,203.7,162.5,63.3,0
20.01,96.6,208.5,150.2,63.5,0
34.44,72.0,200.1,158.0,56.7,1
54.09,149.0,684.6,144.7,91.0,1
50.22,138.5,329.7,153.3,86.3,1
25.15,119.6,118.9,146.9,61.0,0
104.03,224.7,1264.3,140.2,100.2,2
98.16,168.9,1118.1,135.3,83.2,2
47.21,200.4,1101.1,136.0,94.7,1
23.67,127.7,160.5,157.6,64.4,0
94.67,139.8,931.9,131.1,92.6,2
49.81,135.2,536.2,144.7,71.8,1
108.81,155.5,1006.2,143.4,87.2,2
71.61,154.7,762.9,137.1,76.0,2
38.65,107.5,150.5,151.3,70.2,1
15.22,71.6,243.0,147.2,62.4,0
88.58,206.7,1461.0,141.7,100.2,2
45.31,95.2,196.9,142.6,54.4,1
62.41,170.4,527.2,151.8,81.2,1
40.4,110.2,578.8,137.2,85.5,1
31.16,115.4,175.5,164.4,58.1,0
56.75,117.8,402.1,144.4,82.4,1
116.77,206.1,1883.6,138.7,83.6,2
54.59,113.2,557.9,143.2,85.0,2
24.01,104.8,122.9,162.8,73.4,0
22.26,94.3,75.3,156.7,68.1,0
57.77,119.8,626.9,145.4,86.1,2
67.79,105.6,387.5,149.1,83.6,2
95.43,216.2,1559.3,138.1,100.0,2
112.79,180.5,1389.7,132.6,90.6,2
54.52,126.6,285.4,147.9,77.1,1
25.64,80.6,215.3,155.6,56.4,0
104.89,151.9,1797.3,150.9,100.2,2
109.92,129.2,1246.6,133.4,97.1,2
45.74,181.5,459.9,142.5,82.2,1
35.65,108.5,610.1,162.0,87.2,1
46.23,108.0,471.5,160.0,79.9,1
43.81,133.7,350.3,158.1,70.0,0
53.46,128.4,507.0,163.8,82.8,1
32.28,94.0,114.0,155.7,61.9,0
60.85,228.4,1046.2,152.8,96.1,1
55.85,147.0,425.3,143.3,76.5,1
83.8,179.3,1438.0,148.2,94.2,2
105.46,165.1,1060.0,143.2,95.7,2
62.82,153.4,1032.7,146.1,101.3,2
87.09,229.2,1205.3,142.8,90.1,2
51.75,124.7,729.5,153.5,67.5,1
21.43,113.2,197.5,161.2,70.0,0
19.41,89.8,24.6,172.7,62.5,0
31.43,98.3,116.2,146.8,66.9,0
21.53,94.1,183.5,163.7,74.2,0
86.41,168.4,1146.6,140.2,100.9,2
51.37,139.9,418.1,144.6,88.9,1
64.25,137.3,548.2,150.5,77.2,1
25.56,109.7,178.4,155.5,83.2,0
59.87,193.8,407.9,152.0,81.3,1
24.11,109.5,62.8,162.8,63.7,0
38.74,121.0,518.0,147.7,93.1,1
29.57,109.4,194.5,169.8,70.6,0
92.62,225.4,1082.7,126.0,100.1,2
99.96,198.4,586.9,131.7,91.3,2
94.0,190.2,1211.7,134.8,95.7,2
38.58,153.4,627.3,157.3,74.2,0
51.35,178.8,513.9,154.4,80.5,1
67.32,144.2,377.6,142.8,90.4,2
32.02,111.2,44.5,143.2,48.7,0
98.6,124.9,1078.3,147.3,97.9,2
100.95,138.9,1186.1,140.7,91.8,2
68.47,104.0,485.3,144.4,72.3,2
28.9,88.7,207.3,145.1,69.0,1
18.48,78.8,64.0,153.1,65.5,0
27.61,122.5,525.7,144.1,78.5,1
81.74,207.4,1063.2,129.4,106.2,2
51.27,181.1,470.1,149.6,82.2,1
43.33,142.0,682.9,125.3,74.3,1
44.15,123.8,370.2,158.5,86.2,1
79.27,189.9,1793.6,145.1,89.4,2
37.66,72.5,67.0,164.3,80.3,1
55.33,143.2,456.6,143.1,76.8,1
19.99,78.2,98.2,155.5,58.4,0
59.68,137.9,528.5,147.2,74.9,1
48.61,142.5,590.2,131.6,83.8,1
84.84,159.9,1269.9,118.8,89.2,2
51.32,156.0,300.6,144.5,71.5,1
