square_meters,price
131.1,94666.0
286.7,186891.0
227.6,164451.0
191.6,138607.0
72.1,44890.0
72.1,54650.0
45.7,34857.0
263.9,182463.0
192.3,117276.0
221.2,149255.0
35.6,31580.0
291.9,175649.0
254.8,156128.0
87.3,40452.0
79.1,49255.0
79.5,57428.0
112.1,84913.0
171.7,112188.0
146.6,108335.0
108.6,59570.0
195.2,113253.0
67.7,43537.0
108.9,73844.0
128.9,83535.0
153.1,83001.0
242.0,156585.0
83.9,44107.0
168.8,115106.0
190.0,126402.0
42.5,20133.0
194.0,122013.0
76.0,40953.0
47.6,30415.0
286.2,193671.0
290.7,181083.0
248.3,165406.0
112.2,68718.0
56.4,30298.0
214.7,138727.0
148.8,88465.0
63.0,36489.0
163.7,96821.0
39.3,41253.0
275.5,179368.0
99.9,59318.0
208.9,137485.0
114.2,73307.0
170.4,109004.0
177.6,120361.0
79.9,58002.0
291.8,185418.0
239.3,150929.0
283.7,182182.0
271.6,158127.0
191.4,112310.0
278.9,192224.0
53.9,48190.0
82.9,51903.0
42.2,32050.0
117.8,79085.0
134.9,112344.0
103.3,76078.0
253.8,163920.0
126.3,74466.0
105.9,55952.0
176.5,116371.0
68.0,38181.0
246.6,148908.0
50.1,27411.0
296.5,184046.0
238.5,168526.0
83.7,61428.0
31.5,20405.0
250.2,174453.0
220.9,144172.0
226.8,140550.0
238.2,167043.0
50.0,36806.0
126.8,74113.0
61.3,38312.0
263.0,163970.0
198.3,117826.0
119.3,84982.0
47.2,45930.0
114.0,62889.0
117.8,81073.0
227.0,142341.0
202.1,127494.0
269.5,170467.0
157.5,95462.0
62.3,40877.0
222.6,138027.0
235.4,155181.0
181.5,117602.0
238.2,152893.0
163.3,98901.0
171.1,106625.0
145.4,100577.0
36.9,27968.0
59.1,30615.0
38.5,25810.0
201.8,137201.0
114.9,61314.0
167.3,113101.0
275.0,173477.0
97.3,67816.0
140.8,85416.0
234.0,137660.0
91.8,46634.0
50.8,33395.0
108.2,72429.0
73.5,40560.0
281.0,187771.0
248.2,148033.0
201.0,130134.0
265.3,162753.0
247.0,155330.0
80.4,52622.0
271.0,169261.0
175.6,111078.0
248.0,169256.0
271.9,172149.0
115.9,81995.0
59.7,29776.0
91.5,63741.0
145.3,105990.0
250.9,143288.0
262.4,164183.0
31.9,25337.0
167.9,107512.0
142.7,95725.0
90.0,53648.0
62.4,41229.0
121.2,77506.0
284.6,194323.0
117.3,78257.0
170.1,113249.0
219.8,139585.0
128.2,79416.0
292.4,186587.0
289.9,191565.0
98.0,60320.0
164.3,109085.0
111.2,88907.0
106.9,76459.0
40.0,23365.0
194.6,136088.0
165.7,104456.0
43.9,15000.0
105.2,60338.0
275.2,163934.0
94.7,58731.0
69.1,45076.0
162.2,118810.0
296.1,195097.0
95.4,60228.0
211.5,144095.0
235.6,135475.0
94.2,63090.0
226.6,153469.0
129.3,72217.0
200.7,139620.0
201.1,133392.0
174.7,110206.0
54.4,40408.0
255.5,184261.0
116.6,77252.0
80.4,54220.0
41.0,22981.0
189.5,116403.0
212.9,145055.0
34.5,15562.0
168.3,109945.0
91.2,55429.0
204.2,136560.0
77.1,52771.0
216.6,149060.0
134.4,83292.0
282.9,181737.0
67.1,35805.0
122.1,75803.0
60.6,42433.0
279.7,187840.0
266.9,166096.0
99.6,71726.0
208.2,146172.0
250.6,166230.0
179.9,131952.0
173.0,106263.0
95.3,51988.0
55.1,21610.0
272.2,188930.0
273.1,182758.0
200.9,130165.0
121.5,81239.0
124.3,71782.0
226.0,166471.0
272.2,177977.0
269.5,176059.0
240.6,162174.0
203.3,136025.0
52.7,36058.0
73.6,41542.0
272.6,180968.0
193.7,140984.0
32.5,31877.0
57.4,50054.0
209.1,131855.0
31.4,15000.0
73.4,46716.0
178.2,116249.0
216.8,149681.0
206.0,120379.0
90.6,71096.0
222.3,143223.0
94.1,57722.0
117.9,68511.0
231.6,137270.0
205.4,140096.0
259.3,169125.0
207.6,124591.0
183.4,108878.0
55.3,33254.0
129.3,97386.0
101.6,63966.0
95.9,50295.0
292.7,188297.0
136.1,86307.0
270.9,154479.0
200.4,129830.0
244.6,157142.0
165.7,113282.0
185.8,135538.0
163.0,114949.0
82.7,51614.0
225.1,137438.0
105.8,89362.0
36.6,24241.0
204.3,132892.0
77.8,50390.0
283.9,186135.0
287.6,185760.0
277.0,175469.0
129.9,80088.0
34.2,21951.0
280.6,178073.0
145.6,88944.0
291.0,189999.0
290.2,186575.0
260.3,181235.0
109.5,49968.0
134.0,95817.0
259.8,178843.0
115.6,58533.0
75.8,46504.0
180.3,114247.0
282.8,172535.0
217.9,135431.0
183.9,110661.0
56.2,50573.0
196.1,134919.0
297.3,203427.0
67.8,49858.0
169.9,101434.0
266.9,169283.0
230.0,153420.0
218.2,132049.0
219.7,148490.0
127.1,80668.0
109.3,68027.0
248.5,167231.0
248.7,165229.0
264.1,168783.0
276.6,189048.0
168.1,100592.0
165.4,112444.0
245.5,164346.0
205.5,131092.0
219.5,145304.0
244.9,149153.0
270.3,183088.0
121.3,77339.0
131.4,81233.0
55.4,44386.0
186.1,115353.0
39.7,15000.0
155.7,88759.0
176.5,119582.0
107.4,59545.0
189.5,137230.0
38.2,15000.0
40.1,39626.0
252.1,165555.0
127.3,81940.0
64.3,37440.0
171.0,114347.0
237.9,154333.0
88.3,66203.0
198.2,129731.0
53.0,35681.0
44.0,25661.0
173.5,112297.0
176.0,116844.0
202.1,117688.0
226.0,136144.0
293.5,196708.0
169.4,111478.0
117.2,74707.0
244.7,159203.0
103.1,69812.0
148.5,92221.0
51.2,27043.0
36.8,25516.0
289.9,180618.0
255.7,169481.0
217.9,128023.0
140.4,99504.0
76.8,53694.0
72.2,49003.0
97.6,71279.0
178.3,129213.0
222.9,153027.0
208.3,120638.0
105.6,58392.0
287.8,182080.0
229.2,149210.0
179.7,120930.0
195.2,121051.0
143.3,94634.0
96.9,56934.0
126.1,77081.0
234.6,141249.0
33.9,15000.0
61.3,29057.0
42.4,19766.0
41.0,35077.0
261.0,162038.0
220.0,164051.0
158.0,106664.0
56.4,38149.0
162.7,98912.0
157.8,108197.0
76.8,45292.0
147.1,96617.0
137.6,109918.0
196.3,126813.0
201.5,140153.0
42.2,21825.0
131.1,84965.0
199.0,143505.0
165.8,102785.0
261.3,184314.0
207.8,140763.0
74.0,43595.0
49.1,36944.0
203.5,140025.0
37.2,29127.0
188.2,109742.0
283.9,178693.0
185.4,118516.0
134.8,87028.0
203.7,137362.0
153.7,101345.0
177.3,104573.0
284.2,187769.0
134.2,92146.0
289.5,192667.0
274.4,187035.0
82.9,60533.0
48.7,35346.0
57.2,36625.0
34.9,15000.0
55.5,39512.0
214.4,141029.0
49.2,34166.0
116.1,65266.0
258.1,159127.0
36.3,32009.0
249.9,162123.0
106.1,74418.0
61.9,40464.0
218.1,142015.0
199.8,137386.0
266.9,169368.0
228.5,149274.0
246.9,156813.0
106.1,65521.0
77.9,48167.0
232.7,153010.0
247.8,157270.0
297.4,203380.0
141.4,84758.0
130.4,83294.0
239.6,152243.0
122.0,90887.0
281.3,184420.0
261.8,178406.0
145.8,82904.0
232.7,153414.0
233.7,159039.0
57.8,38257.0
273.7,186422.0
166.4,104033.0
253.1,175818.0
116.4,94060.0
271.8,173762.0
135.1,84241.0
32.9,33029.0
274.5,191031.0
54.6,31338.0
116.2,72178.0
286.5,183982.0
286.7,175576.0
184.8,112789.0
200.6,122354.0
151.1,92060.0
109.2,70681.0
118.7,79054.0
211.6,149931.0
233.1,143555.0
243.7,166297.0
243.2,156366.0
54.6,35111.0
163.5,111669.0
45.5,20620.0
178.4,119002.0
149.2,98320.0
269.7,179232.0
124.7,83399.0
61.6,59688.0
68.6,39493.0
235.6,148897.0
196.9,123012.0
57.3,32803.0
52.7,29162.0
219.3,152032.0
49.6,43634.0
251.9,159170.0
220.7,136787.0
52.0,37548.0
52.9,29971.0
296.4,197719.0
131.1,86808.0
130.1,72422.0
249.5,174526.0
285.8,200109.0
296.2,187641.0
233.4,148616.0
131.6,87820.0
52.5,36830.0
239.8,161158.0
180.8,133582.0
144.5,92535.0
274.7,172179.0
60.0,27981.0
163.0,100108.0
33.1,21228.0
156.5,116106.0
45.2,25240.0
62.1,42143.0
61.7,39994.0
205.3,142944.0
231.4,170646.0
187.5,117634.0
289.8,184446.0
131.2,93643.0
107.1,75098.0
264.5,186713.0
90.4,63412.0
290.1,185671.0
33.3,26358.0
291.9,198583.0
41.7,33638.0
270.6,179954.0
172.5,120645.0
298.1,203120.0
49.9,43509.0
179.5,121891.0
291.7,188276.0
171.2,112477.0
199.9,139612.0
217.9,135068.0
152.7,102221.0
199.4,126490.0
187.8,122277.0
273.3,187881.0
42.3,29005.0
105.9,69181.0
286.6,175418.0
270.4,181711.0
153.0,104632.0
197.4,145639.0
104.9,65718.0
80.8,54268.0
155.2,102874.0
125.4,94133.0
187.6,121169.0
51.0,35375.0
293.1,195369.0
296.3,194073.0
218.5,138456.0
174.7,115138.0
113.6,82411.0
249.7,154109.0
214.9,140734.0
73.9,42438.0
276.0,188928.0
252.1,151670.0
286.4,181719.0
225.9,149881.0
195.6,139679.0
142.9,92376.0
281.8,178752.0
263.8,186543.0
42.2,15852.0
37.1,15000.0
131.6,89089.0
248.8,157736.0
296.6,184597.0
70.6,51565.0
190.4,125720.0
132.8,81834.0
291.9,179478.0
257.4,174272.0
256.3,171828.0
156.5,100962.0
142.0,107074.0
103.8,58922.0
45.2,17190.0
263.5,165724.0
249.5,161799.0
299.9,196897.0
299.1,192480.0
180.0,119795.0
237.6,144445.0
285.1,196857.0
259.4,167956.0
96.8,71848.0
151.6,101312.0
64.9,45822.0
287.6,191494.0
193.7,129465.0
91.7,64769.0
211.4,148017.0
196.9,129554.0
126.7,88030.0
60.7,38711.0
211.3,148882.0
170.5,105403.0
238.5,169449.0
